,Open Bid_x,Open Bid_y,Open Ask_y,Short Swap USDPLN,Long Swap USDPLN
2005-01-26,2.28,6.37,6.6,0.003297065611605671,-0.003658536585365853
2005-01-27,2.4,6.45,6.6,0.0032380490956072355,-0.003431372549019608
2005-01-28,2.47,6.4,6.55,0.0030125195618153373,-0.0032660902977905853
2005-01-29,2.49,6.4,6.65,0.0029800809212573924,-0.003311047437121935
2005-01-30,2.45,6.4,6.65,0.0030125195618153373,-0.003381642512077295
2005-01-31,2.46,6.35,6.56,0.002957240948813982,-0.003291586384071933
2005-02-01,2.51,6.35,6.55,0.002989642184557438,-0.0031972143083254198
2005-02-02,2.46,6.36,6.51,0.0029650436953807743,-0.003251445086705202
2005-02-03,2.46,6.45,6.6,0.003035268414481898,-0.003323699421965318
2005-02-04,2.51,6.4,6.6,0.00302887633396108,-0.0032367837923393482
2005-02-05,2.49,6.35,6.55,0.0030224116161616157,-0.003231454950652658
2005-02-06,2.48,6.35,6.55,0.0029252017380509,-0.0032487228607918257
2005-02-07,2.52,6.41,6.6,0.0030367231638418085,-0.00321969696969697
2005-02-08,2.52,6.47,6.6,0.0029861111111111104,-0.00321969696969697
2005-02-09,2.46,6.38,6.58,0.0029806491885143566,-0.003307642903018626
2005-02-10,2.46,6.38,6.58,0.0029806491885143566,-0.003307642903018626
2005-02-11,2.51,6.38,6.58,0.0029325286289074593,-0.0032209559987337764
2005-02-12,2.52,6.41,6.6,0.0030203442879499225,-0.00321969696969697
2005-02-13,2.47,6.41,6.6,0.002987861811391224,-0.003306115914185078
2005-02-14,2.46,6.39,6.59,0.0029884519350811475,-0.003315671162491972
2005-02-15,2.46,6.35,6.5,0.002957240948813982,-0.003243416827231856
2005-02-16,2.51,6.4,6.57,0.00302887633396108,-0.003213042101930991
2005-02-17,2.52,6.38,6.58,0.0029968701095461655,-0.0032039141414141412
2005-02-18,2.48,6.35,6.5,0.0029093160012380074,-0.003208812260536399
2005-02-19,2.51,6.35,6.55,0.0029093160012380074,-0.0031972143083254198
2005-02-20,2.51,6.35,6.55,0.002957240948813982,-0.0031972143083254198
2005-02-21,2.47,6.28,6.58,0.002886710239651417,-0.0032901056676272805
2005-02-22,2.49,6.2,6.35,0.002793252862890746,-0.0030722699777141027
2005-02-23,2.51,6.25,6.45,0.0028319405756731665,-0.0031180753402975632
2005-02-24,2.48,6.25,6.45,0.0028476101800124142,-0.003168901660280971
2005-02-25,2.52,6.25,6.4,0.002816358024691358,-0.0030618686868686875
2005-02-26,2.5,6.05,6.25,0.0027386541471048514,-0.002976190476190477
2005-02-27,2.5,6.05,6.25,0.002754237288135593,-0.002976190476190477
2005-02-28,2.49,6.1,6.3,0.002715877437325905,-0.0030324737344794646
2005-03-01,2.51,6.15,6.55,0.002754565150108326,-0.0031972143083254198
2005-03-02,2.47,6.21,6.41,0.0028322440087145966,-0.003154018571886007
2005-03-03,2.47,6.25,6.4,0.002863367569249922,-0.003146013448607109
2005-03-04,2.52,6.25,6.46,0.0029111738857501572,-0.0031092171717171714
2005-03-05,2.52,6.45,6.65,0.0030681104833647204,-0.0032591540404040406
2005-03-06,2.48,6.45,6.65,0.003002793296089385,-0.0033285440613026827
2005-03-07,2.52,6.45,6.65,0.003035268414481898,-0.0032591540404040406
2005-03-08,2.47,6.5,6.7,0.0030578898225957054,-0.003386167146974063
2005-03-09,2.48,6.4,6.55,0.002963997517070143,-0.0032487228607918257
2005-03-10,2.53,6.38,6.58,0.0029968701095461655,-0.003186968838526912
2005-03-11,2.5,6.32,6.52,0.00287037037037037,-0.0031904761904761906
2005-03-12,2.56,6.37,6.57,0.00290895061728395,-0.0031289013732833954
2005-03-13,2.58,6.37,6.57,0.00290895061728395,-0.003095903165735568
2005-03-14,2.59,6.36,6.56,0.002869858809085329,-0.0030718043949241724
2005-03-15,2.63,6.3,6.57,0.0027625986642380077,-0.003014998469543924
2005-03-16,2.66,6.35,6.55,0.0026521867612293143,-0.0029523375834851246
2005-03-17,2.73,6.37,6.57,0.0026669621749408987,-0.0028596961572832894
2005-03-18,2.7,6.35,6.6,0.0025950292397660816,-0.0029279279279279275
2005-03-19,2.71,6.35,6.5,0.00258092738407699,-0.002837675950883498
2005-03-20,2.73,6.35,6.5,0.0025950292397660816,-0.0028075662794161452
2005-03-21,2.72,6.31,6.55,0.0025378126817917394,-0.0028599163679808833
2005-03-22,2.77,6.35,6.5,0.002525252525252525,-0.002748305334512231
2005-03-23,2.78,6.27,6.47,0.0025226013414989786,-0.002711640211640212
2005-03-24,2.77,6.3,6.5,0.0024891774891774893,-0.002748305334512231
2005-03-25,2.74,6.15,6.3,0.0023943865740740744,-0.0026440879382055847
2005-03-26,2.75,6.0,6.4,0.0022727272727272726,-0.002703703703703704
2005-03-27,2.75,6.0,6.4,0.0022727272727272726,-0.002703703703703704
2005-03-28,2.74,6.0,6.4,0.00228587962962963,-0.0027183600713012474
2005-03-29,2.78,5.9,6.3,0.0021876799078871622,-0.002586713697824809
2005-03-30,2.72,6.0,6.15,0.0023123909249563703,-0.002561230585424134
2005-03-31,2.72,5.9,6.15,0.002239674229203025,-0.002561230585424134
2005-04-01,2.78,6.0,6.2,0.002259643062751871,-0.0025132275132275137
2005-04-02,2.76,5.95,6.15,0.0022497106481481487,-0.002504432624113476
2005-04-03,2.76,5.95,6.15,0.0022497106481481487,-0.002504432624113476
2005-04-04,2.74,5.96,6.16,0.0022569444444444442,-0.0025401069518716573
2005-04-05,2.77,5.95,6.1,0.002236652236652237,-0.0024535809018567637
2005-04-06,2.76,5.97,6.17,0.0022905759162303663,-0.0025192080378250593
2005-04-07,2.69,5.95,6.1,0.002316036352975667,-0.0025669978922011442
2005-04-08,2.7,5.75,6.05,0.0021564327485380117,-0.0025150150150150146
2005-04-09,2.76,5.75,6.05,0.002105034722222222,-0.0024305555555555556
2005-04-10,2.76,5.75,6.05,0.002105034722222222,-0.0024305555555555556
2005-04-11,2.77,5.8,6.0,0.0021284271284271283,-0.0023798997936928974
2005-04-12,2.74,5.8,6.05,0.0021412037037037033,-0.0024584076054664284
2005-04-13,2.72,5.61,6.0,0.002028795811518325,-0.002449223416965352
2005-04-14,2.73,5.81,6.01,0.002161299680881926,-0.0024426571343461423
2005-04-15,2.8,5.75,6.0,0.002117783579924572,-0.002339181286549708
2005-04-16,2.77,5.8,6.2,0.0021284271284271283,-0.002527262010020631
2005-04-17,2.77,5.8,6.2,0.0021284271284271283,-0.002527262010020631
2005-04-18,2.73,5.75,6.08,0.002117783579924572,-0.0024947870122132856
2005-04-19,2.72,6.05,6.25,0.0023487492728330424,-0.002635902031063321
2005-04-20,2.76,5.91,6.21,0.002220775462962963,-0.002548758865248227
2005-04-21,2.8,6.06,6.26,0.0022507122507122506,-0.002529239766081871
2005-04-22,2.84,5.82,6.04,0.0021174275050244045,-0.002314814814814815
2005-04-23,2.86,5.77,5.99,0.00203182722364308,-0.0022524467472654006
2005-04-24,2.86,5.77,5.99,0.0020441595441595436,-0.0022524467472654006
2005-04-25,2.9,5.75,5.95,0.0019932145886344356,-0.0021723646723646726
2005-04-26,2.9,5.75,5.9,0.0019097222222222222,-0.002136752136752137
2005-04-27,2.95,5.6,5.9,0.0018285873813512,-0.0020745428973277073
2005-04-28,2.99,5.35,5.6,0.001610005527915976,-0.0018170426065162904
2005-04-29,3.01,5.4,5.59,0.001622662266226623,-0.0017871986699916878
2005-04-30,3.01,5.3,5.7,0.001553905390539054,-0.00186339706289831
2005-05-01,3.01,5.3,5.7,0.001553905390539054,-0.00186339706289831
2005-05-02,3.03,5.4,5.6,0.0016009852216748765,-0.001771436448855804
2005-05-03,2.98,5.23,5.63,0.0014637799564270156,-0.0018495254048017866
2005-05-04,3.01,5.39,5.59,0.001583401583401583,-0.0017871986699916878
2005-05-05,2.97,5.35,5.55,0.0015561015561015555,-0.001805205709487825
2005-05-06,2.94,5.38,5.58,0.001608910891089109,-0.0018612521150592218
2005-05-07,2.99,5.45,5.85,0.001624351624351624,-0.001991088833194096
2005-05-08,2.99,5.45,5.85,0.001624351624351624,-0.001991088833194096
2005-05-09,3.02,5.4,5.6,0.0015795206971677559,-0.0017827529021558874
2005-05-10,2.98,5.4,5.55,0.0015795206971677559,-0.001793690675600223
2005-05-11,2.96,5.44,5.64,0.0016283524904214554,-0.0018799102132435463
2005-05-12,2.98,5.44,5.64,0.001606753812636166,-0.0018565047459519817
2005-05-13,2.95,5.43,5.63,0.001676364643945691,-0.001884669479606188
2005-05-14,2.98,5.25,5.65,0.0014773965141612196,-0.0018634840871021778
2005-05-15,2.98,5.25,5.65,0.0014773965141612196,-0.0018634840871021778
2005-05-16,2.93,5.4,5.6,0.0016555832640620673,-0.0018871925360474976
2005-05-17,2.95,5.45,5.6,0.001690218897201441,-0.001863572433192686
2005-05-18,3.0,5.4,5.6,0.0016009852216748765,-0.0018055555555555553
2005-05-19,2.98,5.4,5.6,0.0015795206971677559,-0.0018285873813512
2005-05-20,2.98,5.4,5.55,0.0015795206971677559,-0.001793690675600223
2005-05-21,2.96,5.3,5.55,0.0015325670498084285,-0.0018167789001122332
2005-05-22,2.96,5.3,5.55,0.0015325670498084285,-0.0018167789001122332
2005-05-23,2.96,5.25,5.55,0.0014983579638752046,-0.0018167789001122332
2005-05-24,2.98,5.3,5.55,0.0015114379084967316,-0.001793690675600223
2005-05-25,2.95,5.3,5.45,0.0015325670498084285,-0.001758087201125176
2005-05-26,2.99,5.35,5.55,0.001534908992121706,-0.0017822333611807295
2005-05-27,2.98,5.35,5.55,0.0015454793028322434,-0.001793690675600223
2005-05-28,3.01,5.48,5.63,0.0016232002173322472,-0.001814907176503187
2005-05-29,3.01,5.48,5.63,0.0016232002173322472,-0.001814907176503187
2005-05-30,2.95,5.36,5.56,0.0016060104769782197,-0.0018354430379746828
2005-05-31,3.01,5.35,5.5,0.001534908992121706,-0.0017248545303408147
2005-06-01,3.0,5.38,5.58,0.0015873015873015866,-0.0017916666666666667
2005-06-02,3.01,5.3,5.5,0.0015219765219765214,-0.0017248545303408147
2005-06-03,2.97,5.36,5.56,0.0015522875816993465,-0.0018122026308424288
2005-06-04,3.0,5.43,5.63,0.001599945533769063,-0.001826388888888889
2005-06-05,2.97,5.43,5.63,0.0016107016107016103,-0.0018611810803246568
2005-06-06,3.01,5.42,5.65,0.0016038766038766034,-0.0018287614297589363
2005-06-07,2.98,5.4,5.56,0.0015795206971677559,-0.0018006700167504182
2005-06-08,2.98,5.41,5.55,0.001597051597051597,-0.001793690675600223
2005-06-09,2.98,5.3,5.5,0.0015114379084967316,-0.0017587939698492465
2005-06-10,2.95,5.36,5.56,0.0015843621399176957,-0.0018354430379746828
2005-06-11,2.97,5.24,5.62,0.001481026481026481,-0.0018541841589700533
2005-06-12,2.97,5.24,5.62,0.001481026481026481,-0.0018541841589700533
2005-06-13,2.95,5.4,5.6,0.0016117969821673528,-0.001863572433192686
2005-06-14,2.99,5.33,5.53,0.0015213257267047001,-0.0017683096630465053
2005-06-15,3.0,5.33,5.53,0.0015108401084010848,-0.0017569444444444447
2005-06-16,3.0,5.35,5.55,0.001524390243902439,-0.0017708333333333332
2005-06-17,3.01,5.35,5.55,0.001513922681805894,-0.0017594901634801886
2005-06-18,3.02,5.2,5.58,0.001422764227642277,-0.0017689331122166948
2005-06-19,3.02,5.2,5.58,0.001422764227642277,-0.0017689331122166948
2005-06-20,3.03,5.3,5.5,0.0014595103578154424,-0.0017025089605734777
2005-06-21,3.05,5.25,5.45,0.001405622489959839,-0.0016460905349794245
2005-06-22,3.12,5.22,5.42,0.001316482359136387,-0.0015507011866235166
2005-06-23,3.2,5.25,5.45,0.0012596899224806206,-0.0014880952380952378
2005-06-24,3.22,5.25,5.41,0.0012409979423868309,-0.0014415481832543437
2005-06-25,3.25,5.0,5.4,0.0011163032191069578,-0.0014052287581699345
2005-06-26,3.25,5.0,5.4,0.0011163032191069578,-0.0014052287581699345
2005-06-27,3.27,5.0,5.2,0.00107133692584039,-0.0012555295342180596
2005-06-28,3.21,5.0,5.2,0.0010891982469708682,-0.0013130113486408024
2005-06-29,3.26,4.9,5.18,0.0010159465020576131,-0.0012519561815336464
2005-06-30,3.22,4.85,5.1,0.000983796296296296,-0.0012374934175882035
2005-07-01,3.3,4.87,5.07,0.0009280303030303027,-0.0011434108527131788
2005-07-02,3.25,4.79,5.17,0.0009366179112137539,-0.0012549019607843135
2005-07-03,3.26,4.79,5.17,0.0009625322997416024,-0.0012454355764214924
2005-07-04,3.24,4.81,5.05,0.0009408602150537632,-0.0011857966457023059
2005-07-05,3.22,4.81,5.05,0.0009494482935591477,-0.001204581358609794
2005-07-06,3.23,4.89,5.1,0.001044911734164071,-0.0012280010506960858
2005-07-07,3.22,4.86,5.06,0.0009902263374485594,-0.0012111637704054754
2005-07-08,3.2,4.86,5.06,0.0009989688063934002,-0.0012301587301587296
2005-07-09,3.26,4.85,5.05,0.0009664618535586274,-0.001167188315075639
2005-07-10,3.22,4.85,5.05,0.000983796296296296,-0.001204581358609794
2005-07-11,3.24,4.86,5.05,0.0009728622631848439,-0.0011857966457023059
2005-07-12,3.25,4.85,5.05,0.0009751090582499356,-0.0011764705882352942
2005-07-13,3.22,4.86,5.07,0.0009902263374485594,-0.0012177461822011583
2005-07-14,3.21,4.91,5.1,0.0010311936065996391,-0.0012470308788598574
2005-07-15,3.26,4.85,5.05,0.000983796296296296,-0.001167188315075639
2005-07-16,3.23,4.85,5.23,0.0009751090582499356,-0.001313370107696349
2005-07-17,3.26,4.85,5.23,0.0010012919896640825,-0.0012845592070944187
2005-07-18,3.2,4.86,5.06,0.0010522875816993465,-0.0012301587301587296
2005-07-19,3.22,4.8,5.05,0.0009516460905349794,-0.001204581358609794
2005-07-20,3.21,4.9,5.05,0.0010247486465583915,-0.0012140406439693848
2005-07-21,3.22,4.86,5.06,0.0009902263374485594,-0.0012111637704054754
2005-07-22,3.27,4.85,5.05,0.0009751090582499356,-0.0011579495186052563
2005-07-23,3.24,4.69,5.07,0.0008640552995391707,-0.0011988993710691823
2005-07-24,3.24,4.69,5.07,0.0008640552995391707,-0.0011988993710691823
2005-07-25,3.28,4.74,4.94,0.0008960573476702513,-0.0010773624091381107
2005-07-26,3.23,4.74,4.94,0.0009045419553502693,-0.0011229314420803784
2005-07-27,3.26,4.69,4.99,0.0008894044856921887,-0.0011280646844027131
2005-07-28,3.24,4.56,4.76,0.0007808499743983615,-0.0009958071278825993
2005-07-29,3.31,4.57,4.77,0.0007627765064836003,-0.0009409641660221697
2005-07-30,3.32,4.6,4.8,0.0007900101936799186,-0.0009516460905349794
2005-07-31,3.32,4.6,4.8,0.0007900101936799186,-0.0009516460905349794
2005-08-01,3.32,4.61,4.8,0.0007478632478632482,-0.0009516460905349794
2005-08-02,3.37,4.62,4.82,0.0007702020202020197,-0.0009216882786676835
2005-08-03,3.38,4.61,4.81,0.0007006448412698411,-0.0009069000507356668
2005-08-04,3.44,4.61,4.8,0.0006546744982868335,-0.0008508508508508514
2005-08-05,3.45,4.65,4.78,0.0006867794947265151,-0.0008302122347066171
2005-08-06,3.48,4.63,4.83,0.0006368267831149928,-0.0008370535714285711
2005-08-07,3.45,4.63,4.83,0.0006593406593406594,-0.0008614232209737825
2005-08-08,3.46,4.62,4.82,0.0006532356532356533,-0.0008470353761833582
2005-08-09,3.45,4.63,4.83,0.0006593406593406594,-0.0008614232209737825
2005-08-10,3.47,4.65,4.85,0.0006564551422319475,-0.0008575689783743469
2005-08-11,3.45,4.65,4.83,0.0006715506715506717,-0.0008614232209737825
2005-08-12,3.48,4.65,4.83,0.0006791483113069017,-0.0008370535714285711
2005-08-13,3.49,4.63,4.83,0.0006593406593406594,-0.0008290027220984905
2005-08-14,3.45,4.63,4.83,0.0006593406593406594,-0.0008614232209737825
2005-08-15,3.43,4.63,4.83,0.0006745155751778272,-0.0008778530223225488
2005-08-16,3.42,4.65,4.82,0.000694444444444445,-0.0008798391151332327
2005-08-17,3.45,4.7,4.9,0.0007020757020757021,-0.0009051186017478156
2005-08-18,3.45,4.7,4.9,0.0007020757020757021,-0.0009051186017478156
2005-08-19,3.49,4.66,4.85,0.0006776556776556778,-0.0008413758970551843
2005-08-20,3.48,4.56,4.96,0.0006091617933723191,-0.0009176587301587299
2005-08-21,3.47,4.56,4.96,0.0006017505470459514,-0.0009259259259259251
2005-08-22,3.45,4.62,4.82,0.0006532356532356533,-0.0008551810237203497
2005-08-23,3.47,4.63,4.8,0.000644298565523948,-0.000826497638578175
2005-08-24,3.51,4.61,4.75,0.0006321419888159492,-0.0007637349100763734
2005-08-25,3.46,4.6,4.75,0.000633528265107212,-0.0008034379671150974
2005-08-26,3.52,4.6,4.76,0.00061863173216885,-0.0007620452310717797
2005-08-27,3.51,4.48,4.88,0.0005386105059307675,-0.0008438038925843803
2005-08-28,3.51,4.48,4.88,0.0005386105059307675,-0.0008438038925843803
2005-08-29,3.53,4.56,4.76,0.0005870249334301624,-0.0007542310522442974
2005-08-30,3.47,4.53,4.68,0.0005835156819839532,-0.0007519264230673617
2005-08-31,3.51,4.5,4.7,0.0005652808169219549,-0.000732939147573294
2005-09-01,3.46,4.48,4.63,0.000560428849902534,-0.0007286995515695066
2005-09-02,3.49,4.45,4.57,0.0005204550956184945,-0.0006681514476614698
2005-09-03,3.5,4.43,4.61,0.0005155264434740415,-0.0006851851851851856
2005-09-04,3.5,4.36,4.75,0.0004730713245997091,-0.0007716049382716047
2005-09-05,3.5,4.4,4.6,0.0005116959064327482,-0.0006790123456790124
2005-09-06,3.46,4.47,4.57,0.0005543372319688106,-0.000691330343796712
2005-09-07,3.51,4.46,4.57,0.0005265068990559186,-0.0006528701650652872
2005-09-08,3.52,4.41,4.59,0.0004749879749879751,-0.0006575712881022618
2005-09-09,3.54,4.43,4.63,0.0004729406130268195,-0.0006669114047968673
2005-09-10,3.58,4.33,4.71,0.00039938006676204073,-0.0006853469189713734
2005-09-11,3.58,4.33,4.71,0.00039938006676204073,-0.0006853469189713734
2005-09-12,3.53,4.45,4.55,0.0005132850241545898,-0.0006254598969830759
2005-09-13,3.59,4.4,4.6,0.0004205164652925851,-0.0006112321471798595
2005-09-14,3.62,4.4,4.59,0.00040018832391713703,-0.0005832130832130831
2005-09-15,3.69,4.38,4.57,0.000342147993504987,-0.0005212035062781339
2005-09-16,3.69,4.42,4.6,0.00036534446764091875,-0.0005389718076285243
2005-09-17,3.71,4.32,4.72,0.00033333333333333365,-0.0005956593536211369
2005-09-18,3.68,4.32,4.72,0.0003138075313807535,-0.0006172839506172843
2005-09-19,3.72,4.41,4.6,0.0003465003465003465,-0.0005178907721280595
2005-09-20,3.69,4.41,4.6,0.000359545349106936,-0.0005389718076285243
2005-09-21,3.68,4.41,4.58,0.00036610878661087905,-0.0005341880341880341
2005-09-22,3.76,4.39,4.55,0.00030927835051546405,-0.00046101774042950534
2005-09-23,3.74,4.31,4.51,0.00027605244996549335,-0.0004512423816221282
2005-09-24,3.78,4.37,4.76,0.0003169663439372984,-0.0005695025569502558
2005-09-25,3.78,4.37,4.76,0.0003169663439372984,-0.0005695025569502558
2005-09-26,3.74,4.35,4.55,0.0002926997245179061,-0.0004746835443037969
2005-09-27,3.73,4.36,4.55,0.00030480791350356553,-0.0004815597838853652
2005-09-28,3.76,4.38,4.58,0.00029721079103795206,-0.0004785247432306257
2005-09-29,3.73,4.41,4.61,0.0003335633770416377,-0.0005167958656330746
2005-09-30,3.71,4.43,4.63,0.00035805035805035776,-0.0005425807973578673
2005-10-01,3.76,4.45,4.6,0.0003696003696003696,-0.0004901960784313727
2005-10-02,3.75,4.45,4.6,0.0003436426116838494,-0.0004970760233918125
2005-10-03,3.71,4.46,4.57,0.00037537537537537526,-0.0005071950931823542
2005-10-04,3.71,4.46,4.58,0.00037537537537537526,-0.0005130927105449398
2005-10-05,3.75,4.4,4.6,0.0003407253407253409,-0.0004970760233918125
2005-10-06,3.72,4.45,4.57,0.0003630705394190871,-0.0005002354048964214
2005-10-07,3.74,4.44,4.59,0.0003703703703703709,-0.0004981247069854662
2005-10-08,3.74,4.45,4.6,0.0003630705394190871,-0.0005039849976558831
2005-10-09,3.74,4.45,4.6,0.0003630705394190871,-0.0005039849976558831
2005-10-10,3.73,4.4,4.6,0.00032139577594123063,-0.0005109231853417896
2005-10-11,3.75,4.43,4.62,0.00035805035805035776,-0.0005087719298245616
2005-10-12,3.71,4.46,4.56,0.00037537537537537526,-0.0005012974758197687
2005-10-13,3.72,4.41,4.6,0.00034001844167819275,-0.0005178907721280595
2005-10-14,3.72,4.46,4.56,0.0003688335638543107,-0.000494350282485875
2005-10-15,3.76,4.44,4.59,0.00034435261707988987,-0.0004843604108309992
2005-10-16,3.76,4.44,4.59,0.00034435261707988987,-0.0004843604108309992
2005-10-17,3.71,4.45,4.65,0.0003696003696003696,-0.0005543760320830389
2005-10-18,3.71,4.46,4.66,0.00037537537537537526,-0.0005602736494456238
2005-10-19,3.73,4.41,4.6,0.00036610878661087905,-0.0005109231853417896
2005-10-20,3.75,4.4,4.61,0.00034722222222222283,-0.0005029239766081871
2005-10-21,3.83,4.4,4.6,0.00026481857110660395,-0.0004428341384863119
2005-10-22,3.87,4.45,4.84,0.000305498981670061,-0.0005532740132329455
2005-10-23,3.87,4.45,4.84,0.000305498981670061,-0.0005532740132329455
2005-10-24,3.85,4.4,4.61,0.0002525252525252529,-0.0004352806414662088
2005-10-25,3.89,4.43,4.63,0.000281721884155961,-0.0004203590093160644
2005-10-26,3.93,4.41,4.62,0.00024591996422982314,-0.0003887762001352268
2005-10-27,3.96,4.4,4.6,0.0001866490996925781,-0.00035842293906810003
2005-10-28,4.0,4.4,4.61,0.0001925192519251927,-0.00033888888888888917
2005-10-29,4.0,4.36,4.75,0.00015310586176727942,-0.0004166666666666664
2005-10-30,3.96,4.36,4.75,0.0001646903820816867,-0.00044242831541218614
2005-10-31,4.02,4.4,4.6,0.00017497812773403356,-0.00032093846834882727
2005-11-01,4.03,4.4,4.79,0.0001866490996925781,-0.00041970399823282507
2005-11-02,3.96,4.45,4.59,0.00021409749670619297,-0.0003528225806451611
2005-11-03,3.97,4.44,4.65,0.00020271751040981792,-0.0003800581265369998
2005-11-04,4.01,4.45,4.6,0.00019063180827886766,-0.0003271235307163451
2005-11-05,4.0,4.37,4.76,0.00015857392825896735,-0.000422222222222222
2005-11-06,4.0,4.37,4.76,0.00015857392825896735,-0.000422222222222222
2005-11-07,3.97,4.45,4.64,0.00020819636204251571,-0.0003744690364408671
2005-11-08,3.97,4.42,4.63,0.00019175980714442227,-0.0003688799463447344
2005-11-09,3.97,4.42,4.63,0.00019175980714442227,-0.0003688799463447344
2005-11-10,3.97,4.42,4.63,0.00019175980714442227,-0.0003688799463447344
2005-11-11,3.97,4.45,4.6,0.00020819636204251571,-0.00035211267605633756
2005-11-12,4.0,4.45,4.6,0.0002023184601924762,-0.000333333333333333
2005-11-13,3.98,4.45,4.6,0.0002023184601924762,-0.000345827755466309
2005-11-14,3.96,4.42,4.62,0.00019762845849802382,-0.0003696236559139785
2005-11-15,3.97,4.41,4.62,0.00018628095551172447,-0.00036329085624860235
2005-11-16,3.96,4.5,4.65,0.00024154589371980722,-0.0003864247311827958
2005-11-17,3.94,4.41,4.62,0.0002039241622574955,-0.00038236617183985656
2005-11-18,4.01,4.41,4.62,0.00019213877909530095,-0.00033821246396096725
2005-11-19,3.99,4.35,4.74,0.00015340784571553758,-0.00041750167000668015
2005-11-20,3.98,4.35,4.74,0.00014763779527559028,-0.00042391789379741157
2005-11-21,3.99,4.4,4.61,0.00017497812773403356,-0.00034513471387218915
2005-11-22,4.0,4.43,4.63,0.0002090209020902092,-0.00034999999999999967
2005-11-23,4.0,4.41,4.61,0.0002039241622574955,-0.00033888888888888917
2005-11-24,3.98,4.4,4.61,0.0001925192519251927,-0.0003514056224899599
2005-11-25,3.97,4.42,4.61,0.00019175980714442227,-0.0003577017661524703
2005-11-26,4.0,4.34,4.72,0.00016534391534391536,-0.00039999999999999975
2005-11-27,4.0,4.34,4.72,0.00016534391534391536,-0.00039999999999999975
2005-11-28,4.0,4.4,4.61,0.00019841269841269833,-0.00033888888888888917
2005-11-29,4.0,4.4,4.61,0.00019841269841269833,-0.00033888888888888917
2005-11-30,3.98,4.4,4.61,0.0001866490996925781,-0.0003514056224899599
2005-12-01,3.98,4.4,4.61,0.0001866490996925781,-0.0003514056224899599
2005-12-02,4.06,4.44,4.62,0.0001564185544768072,-0.0003074220465524814
2005-12-03,4.08,4.45,4.6,0.000156115417743325,-0.0002843394575678035
2005-12-04,4.08,4.45,4.6,0.000156115417743325,-0.0002843394575678035
2005-12-05,4.07,4.4,4.61,0.00012357618740597463,-0.00029585798816568075
2005-12-06,4.09,4.4,4.61,0.00011239563262684629,-0.0002837808338790659
2005-12-07,4.17,4.4,4.6,6.852203246890212e-05,-0.00023103374167203947
2005-12-08,4.22,4.41,4.6,5.2312199204855116e-05,-0.00020221370796083424
2005-12-09,4.22,4.41,4.6,9.011874469889713e-05,-0.00020221370796083424
2005-12-10,4.24,4.38,4.53,3.132832080200493e-05,-0.0001537319762510604
2005-12-11,4.24,4.38,4.53,3.132832080200493e-05,-0.0001537319762510604
2005-12-12,4.18,4.4,4.61,6.313131313131308e-05,-0.00023058773058773105
2005-12-13,4.22,4.25,4.55,5.301102629346527e-06,-0.00017560664112388274
2005-12-14,4.3,4.35,4.55,1.5664160401002157e-05,-0.00013102725366876338
2005-12-15,4.25,4.39,4.58,5.787037037037016e-05,-0.00017460317460317484
2005-12-16,4.29,4.4,4.55,4.708097928436961e-05,-0.0001365259399285865
2005-12-17,4.29,4.41,4.56,5.2312199204855116e-05,-0.00014177693761814695
