,Open Bid_x,Open Bid_x,Open2,Short Swap USDPLN,2.9889
2005-04-30,3.01,3.01,5.3,1.553905390539054e-05,3.2884
2005-05-01,3.01,3.01,5.3,1.553905390539054e-05,3.2884
2005-05-02,3.03,3.03,5.4,1.6009852216748765e-05,3.3011
2005-05-03,2.98,2.98,5.23,1.4637799564270156e-05,3.2662
2005-05-04,3.01,3.01,5.39,1.5834015834015832e-05,3.2282
2005-05-05,2.97,2.97,5.35,1.5561015561015556e-05,3.1846
2005-05-06,2.94,2.94,5.38,1.608910891089109e-05,3.1512
2005-05-07,2.99,2.99,5.45,1.624351624351624e-05,3.1512
2005-05-08,2.99,2.99,5.45,1.624351624351624e-05,3.1512
2005-05-09,3.02,3.02,5.4,1.579520697167756e-05,3.1647
2005-05-10,2.98,2.98,5.4,1.579520697167756e-05,3.2151
2005-05-11,2.96,2.96,5.44,1.6283524904214556e-05,3.2277
2005-05-12,2.98,2.98,5.44,1.606753812636166e-05,3.2345
2005-05-13,2.95,2.95,5.43,1.676364643945691e-05,3.2769
2005-05-14,2.98,2.98,5.25,1.4773965141612196e-05,3.2769
2005-05-15,2.98,2.98,5.25,1.4773965141612196e-05,3.2769
2005-05-16,2.93,2.93,5.4,1.6555832640620673e-05,3.3003
2005-05-17,2.95,2.95,5.45,1.690218897201441e-05,3.3152
2005-05-18,3.0,3.0,5.4,1.6009852216748765e-05,3.2746
2005-05-19,2.98,2.98,5.4,1.579520697167756e-05,3.2745
2005-05-20,2.98,2.98,5.4,1.579520697167756e-05,3.2755
2005-05-21,2.96,2.96,5.3,1.5325670498084287e-05,3.2755
2005-05-22,2.96,2.96,5.3,1.5325670498084287e-05,3.2755
2005-05-23,2.96,2.96,5.25,1.4983579638752046e-05,3.2999
2005-05-24,2.98,2.98,5.3,1.5114379084967316e-05,3.3034
2005-05-25,2.95,2.95,5.3,1.5325670498084287e-05,3.304
2005-05-26,2.99,2.99,5.35,1.534908992121706e-05,3.307
2005-05-27,2.98,2.98,5.35,1.5454793028322434e-05,3.268
2005-05-28,3.01,3.01,5.48,1.6232002173322472e-05,3.268
2005-05-29,3.01,3.01,5.48,1.6232002173322472e-05,3.268
2005-05-30,2.95,2.95,5.36,1.6060104769782197e-05,3.3013
2005-05-31,3.01,3.01,5.35,1.534908992121706e-05,3.3177
2005-06-01,3.0,3.0,5.38,1.5873015873015866e-05,3.3634
2005-06-02,3.01,3.01,5.3,1.5219765219765214e-05,3.3457
2005-06-03,2.97,2.97,5.36,1.5522875816993464e-05,3.3303
2005-06-04,3.0,3.0,5.43,1.5999455337690628e-05,3.3303
2005-06-05,2.97,2.97,5.43,1.6107016107016105e-05,3.3303
2005-06-06,3.01,3.01,5.42,1.6038766038766035e-05,3.318
2005-06-07,2.98,2.98,5.4,1.579520697167756e-05,3.2911
2005-06-08,2.98,2.98,5.41,1.597051597051597e-05,3.2745
2005-06-09,2.98,2.98,5.3,1.5114379084967316e-05,3.2908
2005-06-10,2.95,2.95,5.36,1.5843621399176957e-05,3.2813
2005-06-11,2.97,2.97,5.24,1.4810264810264812e-05,3.2813
2005-06-12,2.97,2.97,5.24,1.4810264810264812e-05,3.2813
2005-06-13,2.95,2.95,5.4,1.611796982167353e-05,3.3112
2005-06-14,2.99,2.99,5.33,1.5213257267047e-05,3.3256
2005-06-15,3.0,3.0,5.33,1.5108401084010847e-05,3.3223
2005-06-16,3.0,3.0,5.35,1.524390243902439e-05,3.3296
2005-06-17,3.01,3.01,5.35,1.513922681805894e-05,3.2927
2005-06-18,3.02,3.02,5.2,1.4227642276422767e-05,3.2927
2005-06-19,3.02,3.02,5.2,1.4227642276422767e-05,3.2927
2005-06-20,3.03,3.03,5.3,1.4595103578154424e-05,3.3257
2005-06-21,3.05,3.05,5.25,1.405622489959839e-05,3.3245
2005-06-22,3.12,3.12,5.22,1.316482359136387e-05,3.3076
2005-06-23,3.2,3.2,5.25,1.2596899224806204e-05,3.3085
2005-06-24,3.22,3.22,5.25,1.2409979423868308e-05,3.2924
2005-06-25,3.25,3.25,5.0,1.1163032191069578e-05,3.2924
2005-06-26,3.25,3.25,5.0,1.1163032191069578e-05,3.2924
2005-06-27,3.27,3.27,5.0,1.07133692584039e-05,3.3035
2005-06-28,3.21,3.21,5.0,1.0891982469708684e-05,3.3319
2005-06-29,3.26,3.26,4.9,1.0159465020576132e-05,3.3344
2005-06-30,3.22,3.22,4.85,9.83796296296296e-06,3.3281
2005-07-01,3.3,3.3,4.87,9.280303030303029e-06,3.326
2005-07-02,3.25,3.25,4.79,9.36617911213754e-06,3.326
2005-07-03,3.26,3.26,4.79,9.625322997416025e-06,3.326
2005-07-04,3.24,3.24,4.81,9.408602150537632e-06,3.3545
2005-07-05,3.22,3.22,4.81,9.494482935591476e-06,3.3582
2005-07-06,3.23,3.23,4.89,1.044911734164071e-05,3.3637
2005-07-07,3.22,3.22,4.86,9.902263374485594e-06,3.4126
2005-07-08,3.2,3.2,4.86,9.989688063934002e-06,3.3762
2005-07-09,3.26,3.26,4.85,9.664618535586274e-06,3.3762
2005-07-10,3.22,3.22,4.85,9.83796296296296e-06,3.3762
2005-07-11,3.24,3.24,4.86,9.72862263184844e-06,3.3706
2005-07-12,3.25,3.25,4.85,9.751090582499355e-06,3.3521
2005-07-13,3.22,3.22,4.86,9.902263374485594e-06,3.3587
2005-07-14,3.21,3.21,4.91,1.0311936065996391e-05,3.4142
2005-07-15,3.26,3.26,4.85,9.83796296296296e-06,3.4032
2005-07-16,3.23,3.23,4.85,9.751090582499355e-06,3.4032
2005-07-17,3.26,3.26,4.85,1.0012919896640823e-05,3.4032
2005-07-18,3.2,3.2,4.86,1.0522875816993465e-05,3.3867
2005-07-19,3.22,3.22,4.8,9.516460905349794e-06,3.3966
2005-07-20,3.21,3.21,4.9,1.0247486465583914e-05,3.3877
2005-07-21,3.22,3.22,4.86,9.902263374485594e-06,3.3634
2005-07-22,3.27,3.27,4.85,9.751090582499355e-06,3.3696
2005-07-23,3.24,3.24,4.69,8.640552995391707e-06,3.3696
2005-07-24,3.24,3.24,4.69,8.640552995391707e-06,3.3696
2005-07-25,3.28,3.28,4.74,8.960573476702514e-06,3.3939
2005-07-26,3.23,3.23,4.74,9.045419553502694e-06,3.4048
2005-07-27,3.26,3.26,4.69,8.894044856921888e-06,3.3783
2005-07-28,3.24,3.24,4.56,7.808499743983616e-06,3.342
2005-07-29,3.31,3.31,4.57,7.627765064836003e-06,3.3288
2005-07-30,3.32,3.32,4.6,7.900101936799187e-06,3.3288
2005-07-31,3.32,3.32,4.6,7.900101936799187e-06,3.3288
2005-08-01,3.32,3.32,4.61,7.478632478632482e-06,3.3091
2005-08-02,3.37,3.37,4.62,7.702020202020197e-06,3.3065
2005-08-03,3.38,3.38,4.61,7.00644841269841e-06,3.2966
2005-08-04,3.44,3.44,4.61,6.546744982868335e-06,3.2755
2005-08-05,3.45,3.45,4.65,6.86779494726515e-06,3.2659
2005-08-06,3.48,3.48,4.63,6.368267831149929e-06,3.2659
2005-08-07,3.45,3.45,4.63,6.593406593406594e-06,3.2659
2005-08-08,3.46,3.46,4.62,6.532356532356534e-06,3.2492
2005-08-09,3.45,3.45,4.63,6.593406593406594e-06,3.2461
2005-08-10,3.47,3.47,4.65,6.5645514223194745e-06,3.2379
2005-08-11,3.45,3.45,4.65,6.7155067155067165e-06,3.2213
2005-08-12,3.48,3.48,4.65,6.791483113069016e-06,3.2188
2005-08-13,3.49,3.49,4.63,6.593406593406594e-06,3.2188
2005-08-14,3.45,3.45,4.63,6.593406593406594e-06,3.2188
2005-08-15,3.43,3.43,4.63,6.745155751778272e-06,3.247
2005-08-16,3.42,3.42,4.65,6.94444444444445e-06,3.2328
2005-08-17,3.45,3.45,4.7,7.020757020757021e-06,3.2419
2005-08-18,3.45,3.45,4.7,7.020757020757021e-06,3.26
2005-08-19,3.49,3.49,4.66,6.776556776556778e-06,3.2898
2005-08-20,3.48,3.48,4.56,6.091617933723191e-06,3.2898
2005-08-21,3.47,3.47,4.56,6.017505470459514e-06,3.2898
2005-08-22,3.45,3.45,4.62,6.532356532356534e-06,3.2785
2005-08-23,3.47,3.47,4.63,6.442985655239479e-06,3.2668
2005-08-24,3.51,3.51,4.61,6.321419888159492e-06,3.2665
2005-08-25,3.46,3.46,4.6,6.33528265107212e-06,3.2661
2005-08-26,3.52,3.52,4.6,6.1863173216885e-06,3.2597
2005-08-27,3.51,3.51,4.48,5.386105059307674e-06,3.2597
2005-08-28,3.51,3.51,4.48,5.386105059307674e-06,3.2597
2005-08-29,3.53,3.53,4.56,5.870249334301624e-06,3.283
2005-08-30,3.47,3.47,4.53,5.835156819839532e-06,3.3064
2005-08-31,3.51,3.51,4.5,5.652808169219549e-06,3.2437
2005-09-01,3.46,3.46,4.48,5.60428849902534e-06,3.1802
2005-09-02,3.49,3.49,4.45,5.204550956184945e-06,3.1291
2005-09-03,3.5,3.5,4.43,5.155264434740415e-06,3.1291
2005-09-04,3.5,3.5,4.36,4.730713245997091e-06,3.1291
2005-09-05,3.5,3.5,4.4,5.1169590643274825e-06,3.1267
2005-09-06,3.46,3.46,4.47,5.543372319688106e-06,3.1326
2005-09-07,3.51,3.51,4.46,5.265068990559186e-06,3.1093
2005-09-08,3.52,3.52,4.41,4.749879749879751e-06,3.1487
2005-09-09,3.54,3.54,4.43,4.729406130268195e-06,3.1392
2005-09-10,3.58,3.58,4.33,3.993800667620407e-06,3.1392
2005-09-11,3.58,3.58,4.33,3.993800667620407e-06,3.1392
2005-09-12,3.53,3.53,4.45,5.132850241545898e-06,3.1692
2005-09-13,3.59,3.59,4.4,4.205164652925851e-06,3.1812
2005-09-14,3.62,3.62,4.4,4.0018832391713705e-06,3.1729
2005-09-15,3.69,3.69,4.38,3.42147993504987e-06,3.1671
2005-09-16,3.69,3.69,4.42,3.653444676409188e-06,3.1488
2005-09-17,3.71,3.71,4.32,3.3333333333333363e-06,3.1488
2005-09-18,3.68,3.68,4.32,3.138075313807535e-06,3.1488
2005-09-19,3.72,3.72,4.41,3.465003465003465e-06,3.1832
2005-09-20,3.69,3.69,4.41,3.59545349106936e-06,3.1757
2005-09-21,3.68,3.68,4.41,3.661087866108791e-06,3.1727
2005-09-22,3.76,3.76,4.39,3.0927835051546407e-06,3.1813
2005-09-23,3.74,3.74,4.31,2.7605244996549336e-06,3.1892
2005-09-24,3.78,3.78,4.37,3.169663439372984e-06,3.1892
2005-09-25,3.78,3.78,4.37,3.169663439372984e-06,3.1892
2005-09-26,3.74,3.74,4.35,2.926997245179061e-06,3.2174
2005-09-27,3.73,3.73,4.36,3.0480791350356557e-06,3.2274
2005-09-28,3.76,3.76,4.38,2.9721079103795207e-06,3.2283
2005-09-29,3.73,3.73,4.41,3.335633770416377e-06,3.2285
2005-09-30,3.71,3.71,4.43,3.5805035805035777e-06,3.2343
2005-10-01,3.76,3.76,4.45,3.696003696003696e-06,3.2343
2005-10-02,3.75,3.75,4.45,3.436426116838494e-06,3.2343
2005-10-03,3.71,3.71,4.46,3.753753753753753e-06,3.2605
2005-10-04,3.71,3.71,4.46,3.753753753753753e-06,3.2821
2005-10-05,3.75,3.75,4.4,3.407253407253409e-06,3.2444
2005-10-06,3.72,3.72,4.45,3.630705394190871e-06,3.2138
2005-10-07,3.74,3.74,4.44,3.703703703703709e-06,3.1882
2005-10-08,3.74,3.74,4.45,3.630705394190871e-06,3.1882
2005-10-09,3.74,3.74,4.45,3.630705394190871e-06,3.1882
2005-10-10,3.73,3.73,4.4,3.2139577594123062e-06,3.195
2005-10-11,3.75,3.75,4.43,3.5805035805035777e-06,3.2053
2005-10-12,3.71,3.71,4.46,3.753753753753753e-06,3.2157
2005-10-13,3.72,3.72,4.41,3.400184416781928e-06,3.2285
2005-10-14,3.72,3.72,4.46,3.6883356385431063e-06,3.2198
2005-10-15,3.76,3.76,4.44,3.4435261707988986e-06,3.2198
2005-10-16,3.76,3.76,4.44,3.4435261707988986e-06,3.2198
2005-10-17,3.71,3.71,4.45,3.696003696003696e-06,3.227
2005-10-18,3.71,3.71,4.46,3.753753753753753e-06,3.2381
2005-10-19,3.73,3.73,4.41,3.661087866108791e-06,3.2445
2005-10-20,3.75,3.75,4.4,3.4722222222222283e-06,3.2241
2005-10-21,3.83,3.83,4.4,2.64818571106604e-06,3.2301
2005-10-22,3.87,3.87,4.45,3.05498981670061e-06,3.2301
2005-10-23,3.87,3.87,4.45,3.05498981670061e-06,3.2301
2005-10-24,3.85,3.85,4.4,2.525252525252529e-06,3.253
2005-10-25,3.89,3.89,4.43,2.8172188415596096e-06,3.2357
2005-10-26,3.93,3.93,4.41,2.4591996422982317e-06,3.2325
2005-10-27,3.96,3.96,4.4,1.8664909969257807e-06,3.2653
2005-10-28,4.0,4.0,4.4,1.925192519251927e-06,3.2683
2005-10-29,4.0,4.0,4.36,1.5310586176727942e-06,3.2683
2005-10-30,3.96,3.96,4.36,1.646903820816867e-06,3.2683
2005-10-31,4.02,4.02,4.4,1.7497812773403356e-06,3.2943
2005-11-01,4.03,4.03,4.4,1.8664909969257807e-06,3.296
2005-11-02,3.96,3.96,4.45,2.14097496706193e-06,3.2732
2005-11-03,3.97,3.97,4.44,2.0271751040981797e-06,3.2792
2005-11-04,4.01,4.01,4.45,1.9063180827886768e-06,3.3156
2005-11-05,4.0,4.0,4.37,1.5857392825896735e-06,3.3156
2005-11-06,4.0,4.0,4.37,1.5857392825896735e-06,3.3156
2005-11-07,3.97,3.97,4.45,2.081963620425157e-06,3.3571
2005-11-08,3.97,3.97,4.42,1.9175980714442226e-06,3.3905
2005-11-09,3.97,3.97,4.42,1.9175980714442226e-06,3.3814
2005-11-10,3.97,3.97,4.42,1.9175980714442226e-06,3.4053
2005-11-11,3.97,3.97,4.45,2.081963620425157e-06,3.4099
2005-11-12,4.0,4.0,4.45,2.023184601924762e-06,3.4099
2005-11-13,3.98,3.98,4.45,2.023184601924762e-06,3.4099
2005-11-14,3.96,3.96,4.42,1.9762845849802382e-06,3.3912
2005-11-15,3.97,3.97,4.41,1.8628095551172448e-06,3.3917
2005-11-16,3.96,3.96,4.5,2.4154589371980723e-06,3.3863
2005-11-17,3.94,3.94,4.41,2.039241622574955e-06,3.3671
2005-11-18,4.01,4.01,4.41,1.9213877909530094e-06,3.3515
2005-11-19,3.99,3.99,4.35,1.534078457155376e-06,3.3515
2005-11-20,3.98,3.98,4.35,1.4763779527559028e-06,3.3515
2005-11-21,3.99,3.99,4.4,1.7497812773403356e-06,3.3586
2005-11-22,4.0,4.0,4.43,2.090209020902092e-06,3.353
2005-11-23,4.0,4.0,4.41,2.039241622574955e-06,3.3129
2005-11-24,3.98,3.98,4.4,1.925192519251927e-06,3.3093
2005-11-25,3.97,3.97,4.42,1.9175980714442226e-06,3.3143
2005-11-26,4.0,4.0,4.34,1.6534391534391535e-06,3.3143
2005-11-27,4.0,4.0,4.34,1.6534391534391535e-06,3.3143
2005-11-28,4.0,4.0,4.4,1.984126984126983e-06,3.2684
2005-11-29,4.0,4.0,4.4,1.984126984126983e-06,3.2802
2005-11-30,3.98,3.98,4.4,1.8664909969257807e-06,3.2961
2005-12-01,3.98,3.98,4.4,1.8664909969257807e-06,3.3115
2005-12-02,4.06,4.06,4.44,1.564185544768072e-06,3.2759
2005-12-03,4.08,4.08,4.45,1.56115417743325e-06,3.2759
2005-12-04,4.08,4.08,4.45,1.56115417743325e-06,3.2759
2005-12-05,4.07,4.07,4.4,1.2357618740597464e-06,3.2485
2005-12-06,4.09,4.09,4.4,1.123956326268463e-06,3.241
2005-12-07,4.17,4.17,4.4,6.852203246890212e-07,3.2548
2005-12-08,4.22,4.22,4.41,5.231219920485511e-07,3.262
2005-12-09,4.22,4.22,4.41,9.011874469889714e-07,3.232
2005-12-10,4.24,4.24,4.38,3.132832080200493e-07,3.232
2005-12-11,4.24,4.24,4.38,3.132832080200493e-07,3.232
2005-12-12,4.18,4.18,4.4,6.313131313131308e-07,3.183
2005-12-13,4.22,4.22,4.25,5.301102629346528e-08,3.1754
2005-12-14,4.3,4.3,4.35,1.5664160401002156e-07,3.1739
2005-12-15,4.25,4.25,4.39,5.787037037037016e-07,3.1868
2005-12-16,4.29,4.29,4.4,4.708097928436961e-07,3.1911
2005-12-17,4.29,4.29,4.41,5.231219920485511e-07,3.1911
2005-12-18,4.29,4.29,4.41,5.231219920485511e-07,3.1911
2005-12-19,4.29,4.29,4.37,3.1387319522913066e-07,3.1952
2005-12-20,4.19,4.19,4.5,1.1027095148078118e-06,3.1958
2005-12-21,4.29,4.29,4.43,6.277463904582553e-07,3.213
2005-12-22,4.29,4.29,4.41,5.231219920485511e-07,3.2247
2005-12-23,4.29,4.29,4.41,5.231219920485511e-07,3.1894
2005-12-24,4.29,4.29,4.45,7.323707888679656e-07,3.1894
2005-12-25,4.3,4.3,4.45,6.787802840434392e-07,3.1894
2005-12-26,4.33,4.33,4.45,1.0231225700838937e-07,3.197
2005-12-27,4.43,4.43,4.3,-7.645259938837936e-07,3.2077
2005-12-28,4.43,4.43,4.31,-7.135575942915424e-07,3.2097
2005-12-29,4.44,4.44,4.39,-3.56125356125358e-07,3.2386
2005-12-30,4.21,4.21,4.41,5.231219920485511e-07,3.22
2005-12-31,4.31,4.31,4.43,5.211590577444198e-07,3.22
2006-01-01,4.31,4.31,4.43,5.211590577444198e-07,3.22
2006-01-02,4.3,4.3,4.41,4.6992481203007713e-07,3.2207
2006-01-03,4.3,4.3,4.41,4.6992481203007713e-07,3.1624
2006-01-04,4.3,4.3,4.41,4.6992481203007713e-07,3.1334
2006-01-05,4.31,4.31,4.5,8.859703981655203e-07,3.1315
2006-01-06,4.3,4.3,4.38,3.132832080200493e-07,3.1045
2006-01-07,4.31,4.31,4.4,3.648113404211008e-07,3.1045
2006-01-08,4.3,4.3,4.4,4.177109440267366e-07,3.1045
2006-01-09,4.3,4.3,4.37,2.610693400167088e-07,3.1034
2006-01-10,4.29,4.29,4.35,2.092487968194205e-07,3.1117
2006-01-11,4.3,4.3,4.35,1.5664160401002156e-07,3.1113
2006-01-12,4.3,4.3,4.4,4.177109440267366e-07,3.1094
2006-01-13,4.3,4.3,4.44,6.265664160400986e-07,3.1109
2006-01-14,4.3,4.3,4.42,5.221386800334176e-07,3.1109
2006-01-15,4.3,4.3,4.42,5.221386800334176e-07,3.1109
2006-01-16,4.31,4.31,4.36,1.563477173233253e-07,3.1253
2006-01-17,4.3,4.3,4.35,1.5664160401002156e-07,3.128
2006-01-18,4.3,4.3,4.35,1.5664160401002156e-07,3.1678
2006-01-19,4.3,4.3,4.31,-5.22138680033467e-08,3.1705
2006-01-20,4.3,4.3,4.4,4.177109440267366e-07,3.1238
2006-01-21,4.3,4.3,4.43,5.743525480367581e-07,3.1238
2006-01-22,4.3,4.3,4.43,5.743525480367581e-07,3.1238
2006-01-23,4.3,4.3,4.41,4.6992481203007713e-07,3.1222
2006-01-24,4.37,4.37,4.4,-3.0525030525030417e-07,3.1043
2006-01-25,4.4,4.4,4.35,-7.575757575757593e-07,3.0906
2006-01-26,4.46,4.46,4.34,-1.0510510510510496e-06,3.1054
2006-01-27,4.44,4.44,4.3,-1.2033694344163676e-06,3.1171
2006-01-28,4.5,4.5,4.25,-1.6427718040621283e-06,3.1171
2006-01-29,4.45,4.45,4.25,-1.5015015015015015e-06,3.1171
2006-01-30,4.47,4.47,4.23,-1.6486810551558714e-06,3.1461
2006-01-31,4.53,4.53,4.23,-1.6016016016015976e-06,3.1264
2006-02-01,4.53,4.53,4.15,-2.002002002002e-06,3.1318
